,Geneid,Ctrl_1,Ctrl_2,Lhx2_HD_EnR_1,Lhx2_HD_EnR_2
1,ENSMUSG00000102693.1,0,0,0,0
2,ENSMUSG00000064842.1,0,0,0,0
3,ENSMUSG00000051951.5,1585,2127,1492,3119
4,ENSMUSG00000102851.1,0,1,0,1
5,ENSMUSG00000103377.1,0,0,0,1
6,ENSMUSG00000104017.1,0,2,0,1
7,ENSMUSG00000103025.1,3,0,0,5
8,ENSMUSG00000089699.1,0,0,0,0
9,ENSMUSG00000103201.1,1,0,1,1
10,ENSMUSG00000103147.1,2,1,2,2
11,ENSMUSG00000103161.1,0,0,3,2
12,ENSMUSG00000102331.1,2,7,2,1
13,ENSMUSG00000102348.1,1,2,0,8
14,ENSMUSG00000102592.1,0,0,0,0
15,ENSMUSG00000088333.2,0,0,0,0
16,ENSMUSG00000102343.1,0,0,0,0
17,ENSMUSG00000025900.11,11,14,54,27
18,ENSMUSG00000102948.1,0,0,0,0
19,ENSMUSG00000109048.1,0,0,0,0
20,ENSMUSG00000104123.1,0,0,0,0
21,ENSMUSG00000025902.13,49,110,106,149
22,ENSMUSG00000104238.1,1,1,1,2
23,ENSMUSG00000102269.1,1,2,2,5
24,ENSMUSG00000096126.1,1,0,1,0
25,ENSMUSG00000103003.1,0,0,0,0
26,ENSMUSG00000104328.1,2,1,3,5
27,ENSMUSG00000102735.1,0,0,0,0
28,ENSMUSG00000098104.1,15,17,31,27
29,ENSMUSG00000102175.1,4,4,2,7
30,ENSMUSG00000088000.1,0,0,0,0
31,ENSMUSG00000103265.1,0,0,0,2
32,ENSMUSG00000103922.1,23,16,33,37
33,ENSMUSG00000033845.13,815,1090,1783,2046
34,ENSMUSG00000102275.1,20,22,39,28
35,ENSMUSG00000025903.14,270,456,604,617
36,ENSMUSG00000104217.1,0,0,0,0
37,ENSMUSG00000033813.15,1761,2136,3211,3776
38,ENSMUSG00000062588.4,41,62,135,116
39,ENSMUSG00000103280.1,19,38,77,45
40,ENSMUSG00000002459.17,144,200,391,287
41,ENSMUSG00000091305.1,0,0,0,0
42,ENSMUSG00000102653.1,0,0,1,1
43,ENSMUSG00000085623.1,0,1,4,2
44,ENSMUSG00000091665.1,0,0,0,0
45,ENSMUSG00000033793.12,3086,3523,4743,6323
46,ENSMUSG00000104352.1,0,0,0,0
47,ENSMUSG00000104046.1,0,0,0,0
48,ENSMUSG00000102907.1,0,0,0,0
49,ENSMUSG00000025905.13,1,7,2,2
50,ENSMUSG00000103936.1,0,0,0,0
51,ENSMUSG00000093015.1,0,0,0,1
52,ENSMUSG00000103519.1,0,0,0,0
53,ENSMUSG00000033774.4,0,1,0,2
54,ENSMUSG00000103090.1,0,0,0,0
55,ENSMUSG00000025907.14,3620,4085,6107,7074
56,ENSMUSG00000090031.2,187,200,223,302
57,ENSMUSG00000087247.3,0,0,0,0
58,ENSMUSG00000103355.1,3,1,6,4
59,ENSMUSG00000102706.1,0,0,1,1
60,ENSMUSG00000103845.1,127,110,209,320
61,ENSMUSG00000033740.17,111,212,378,311
62,ENSMUSG00000103329.2,1,4,6,7
63,ENSMUSG00000104385.1,0,0,0,0
64,ENSMUSG00000102135.1,4,1,2,2
65,ENSMUSG00000103282.1,0,0,0,0
66,ENSMUSG00000102534.1,0,0,0,0
67,ENSMUSG00000102213.1,0,0,0,0
68,ENSMUSG00000103629.1,0,0,0,0
69,ENSMUSG00000051285.17,2061,2380,3737,4205
70,ENSMUSG00000098201.1,2,0,2,1
71,ENSMUSG00000103509.1,303,312,711,606
72,ENSMUSG00000048538.7,3,5,18,11
73,ENSMUSG00000103709.1,0,2,0,0
74,ENSMUSG00000077244.1,0,0,0,0
75,ENSMUSG00000102768.1,0,0,1,0
76,ENSMUSG00000097797.6,58,56,80,103
77,ENSMUSG00000103498.1,0,0,0,0
78,ENSMUSG00000103067.1,0,0,0,0
79,ENSMUSG00000102320.1,0,0,0,0
80,ENSMUSG00000104226.1,1,0,2,0
81,ENSMUSG00000103903.1,0,0,0,0
82,ENSMUSG00000103557.1,0,0,0,0
83,ENSMUSG00000025909.16,358,350,430,881
84,ENSMUSG00000102647.1,0,0,0,1
85,ENSMUSG00000086235.1,3,9,12,12
86,ENSMUSG00000102253.1,0,0,0,0
87,ENSMUSG00000093970.1,0,0,0,0
88,ENSMUSG00000103884.1,1,0,0,0
89,ENSMUSG00000084353.1,1,1,10,4
90,ENSMUSG00000103933.1,23,29,24,37
91,ENSMUSG00000076135.1,1,1,2,3
92,ENSMUSG00000086195.1,0,0,0,0
93,ENSMUSG00000104504.1,0,0,0,0
94,ENSMUSG00000066693.2,0,2,6,4
95,ENSMUSG00000102316.1,0,0,0,0
96,ENSMUSG00000103819.1,0,0,0,0
97,ENSMUSG00000102871.1,0,0,0,0
98,ENSMUSG00000101571.2,18,25,46,48
99,ENSMUSG00000104428.1,0,0,0,0
100,ENSMUSG00000102272.1,0,0,0,0
101,ENSMUSG00000065625.1,0,0,0,0
102,ENSMUSG00000103411.1,0,0,0,0
103,ENSMUSG00000061024.8,681,773,1225,1497
104,ENSMUSG00000025911.14,25,70,38,47
105,ENSMUSG00000079671.8,14,30,28,31
106,ENSMUSG00000081441.3,1,1,6,5
107,ENSMUSG00000067879.3,806,1551,782,1770
108,ENSMUSG00000099827.1,0,0,0,0
109,ENSMUSG00000025912.16,94,119,594,260
110,ENSMUSG00000045210.8,2064,2458,3629,4126
111,ENSMUSG00000097893.8,1,2,4,3
112,ENSMUSG00000025915.14,230,413,396,443
113,ENSMUSG00000046334.4,0,1,5,5
114,ENSMUSG00000088916.1,0,0,0,0
115,ENSMUSG00000046101.16,44,53,115,153
116,ENSMUSG00000098234.7,504,474,1010,1098
117,ENSMUSG00000093178.1,17,9,26,16
118,ENSMUSG00000099032.2,1,57,14,9
119,ENSMUSG00000104025.1,0,0,0,0
120,ENSMUSG00000025916.10,5,7,13,15
121,ENSMUSG00000087199.1,0,0,2,0
122,ENSMUSG00000095780.1,0,0,2,0
123,ENSMUSG00000025917.9,2133,2582,3740,4380
124,ENSMUSG00000056763.16,2333,2201,4575,4205
125,ENSMUSG00000102356.1,0,0,0,1
126,ENSMUSG00000067851.11,3464,4048,5855,6606
127,ENSMUSG00000088153.1,0,5,6,3
128,ENSMUSG00000102556.1,0,1,1,4
129,ENSMUSG00000042501.12,1,3,0,0
130,ENSMUSG00000103810.1,0,0,0,0
131,ENSMUSG00000083422.1,2,0,3,2
132,ENSMUSG00000094979.1,0,0,0,0
133,ENSMUSG00000081417.1,0,0,0,2
134,ENSMUSG00000103448.1,0,0,0,0
135,ENSMUSG00000100212.1,0,0,0,1
136,ENSMUSG00000100648.1,0,0,0,1
137,ENSMUSG00000088585.1,0,0,0,0
138,ENSMUSG00000048960.13,154,330,298,298
139,ENSMUSG00000077318.1,0,0,1,0
140,ENSMUSG00000101827.1,0,0,0,0
141,ENSMUSG00000103494.1,0,0,0,0
142,ENSMUSG00000057715.13,579,840,349,710
143,ENSMUSG00000103825.1,1,0,0,0
144,ENSMUSG00000099845.1,0,0,0,0
145,ENSMUSG00000103561.1,0,0,0,0
146,ENSMUSG00000101610.1,6,3,3,1
147,ENSMUSG00000093864.1,0,0,0,0
148,ENSMUSG00000098555.1,0,0,0,0
149,ENSMUSG00000097628.1,0,0,0,0
150,ENSMUSG00000098163.1,0,0,0,0
151,ENSMUSG00000097171.1,0,0,0,0
152,ENSMUSG00000101314.1,0,0,0,0
153,ENSMUSG00000016918.15,52,267,51,256
154,ENSMUSG00000025938.16,2469,2763,3612,4671
155,ENSMUSG00000104518.1,0,0,0,0
156,ENSMUSG00000069620.6,0,0,0,0
157,ENSMUSG00000099498.1,0,0,0,0
158,ENSMUSG00000042414.7,0,1,0,4
159,ENSMUSG00000005886.14,3654,4526,5210,6080
160,ENSMUSG00000103506.1,2,1,3,4
161,ENSMUSG00000103495.1,0,0,0,3
162,ENSMUSG00000099183.1,0,0,0,0
163,ENSMUSG00000102639.1,1,0,0,0
164,ENSMUSG00000104170.1,0,0,0,1
165,ENSMUSG00000087782.1,1,0,0,0
166,ENSMUSG00000103085.1,4,5,2,4
167,ENSMUSG00000102664.1,0,0,4,0
168,ENSMUSG00000101476.1,0,0,0,0
169,ENSMUSG00000101171.1,0,0,0,0
170,ENSMUSG00000025935.10,1043,1429,1822,1959
171,ENSMUSG00000025937.6,116,132,224,284
172,ENSMUSG00000102982.1,2,4,4,6
173,ENSMUSG00000067813.3,0,0,1,0
174,ENSMUSG00000077368.1,0,0,0,0
175,ENSMUSG00000097711.1,1,0,2,1
176,ENSMUSG00000102166.1,0,1,1,3
177,ENSMUSG00000089358.1,0,0,0,0
178,ENSMUSG00000104209.1,0,0,0,1
179,ENSMUSG00000025932.14,104,251,427,254
180,ENSMUSG00000095853.1,0,1,2,0
181,ENSMUSG00000102588.1,0,0,1,0
182,ENSMUSG00000054493.2,6,6,2,5
183,ENSMUSG00000025930.6,11,16,7,18
184,ENSMUSG00000103492.1,1,16,2,0
185,ENSMUSG00000081201.1,3,10,5,4
186,ENSMUSG00000082193.1,23,25,49,46
187,ENSMUSG00000032769.4,8,3,1,7
188,ENSMUSG00000088159.1,0,0,0,0
189,ENSMUSG00000073737.3,3,0,3,0
190,ENSMUSG00000092083.4,748,998,786,1243
191,ENSMUSG00000102937.1,0,0,0,0
192,ENSMUSG00000104149.1,0,0,1,2
193,ENSMUSG00000088829.1,0,0,0,0
194,ENSMUSG00000077377.1,0,0,0,0
195,ENSMUSG00000101652.1,0,2,0,1
196,ENSMUSG00000100814.1,0,0,0,0
197,ENSMUSG00000025925.14,272,320,728,588
198,ENSMUSG00000104379.1,11,9,15,8
199,ENSMUSG00000032719.4,2,6,14,12
200,ENSMUSG00000088943.1,0,1,0,0
201,ENSMUSG00000100652.1,1,1,0,0
202,ENSMUSG00000067795.13,25,39,28,42
203,ENSMUSG00000043716.13,17482,19440,31388,39306
204,ENSMUSG00000025921.7,266,320,389,438
205,ENSMUSG00000104165.1,6,7,10,12
206,ENSMUSG00000100868.1,8,6,20,11
207,ENSMUSG00000025920.19,3773,4717,5725,7782
208,ENSMUSG00000089982.7,2,4,1,3
209,ENSMUSG00000025939.17,1230,1573,1857,2447
210,ENSMUSG00000102457.1,3,7,2,6
211,ENSMUSG00000079658.9,2512,3193,4032,5025
212,ENSMUSG00000097744.1,0,0,2,0
213,ENSMUSG00000100959.1,0,0,1,2
214,ENSMUSG00000025940.6,525,709,976,1212
215,ENSMUSG00000025779.10,11,18,25,32
216,ENSMUSG00000100093.1,0,0,0,0
217,ENSMUSG00000091020.3,11,28,35,42
218,ENSMUSG00000101640.1,0,0,0,0
219,ENSMUSG00000104133.1,0,0,0,0
220,ENSMUSG00000042686.5,206,187,340,381
221,ENSMUSG00000100110.1,0,0,0,0
222,ENSMUSG00000025777.8,4442,5298,5826,8283
223,ENSMUSG00000099899.1,10,7,12,5
224,ENSMUSG00000100272.1,0,0,0,0
225,ENSMUSG00000100398.1,0,0,0,0
226,ENSMUSG00000101589.1,18,37,64,70
227,ENSMUSG00000102048.1,1,1,0,0
228,ENSMUSG00000089534.1,0,0,0,0
229,ENSMUSG00000067780.3,4,3,7,4
230,ENSMUSG00000100053.1,5,15,6,13
231,ENSMUSG00000085125.7,4,11,4,9
232,ENSMUSG00000025776.13,17,190,26,22
233,ENSMUSG00000099895.1,1,4,2,5
234,ENSMUSG00000100554.1,2,7,8,7
235,ENSMUSG00000099473.1,1,3,3,5
236,ENSMUSG00000099591.1,21,31,9,26
237,ENSMUSG00000109887.1,103,197,125,222
238,ENSMUSG00000102001.1,0,1,0,0
239,ENSMUSG00000101717.2,0,0,0,0
240,ENSMUSG00000025774.14,0,0,0,0
241,ENSMUSG00000070977.4,0,0,0,0
242,ENSMUSG00000073735.1,0,0,0,0
243,ENSMUSG00000067773.6,0,0,0,0
244,ENSMUSG00000101685.1,0,1,2,2
245,ENSMUSG00000101738.1,0,0,0,0
246,ENSMUSG00000101306.1,0,0,0,1
247,ENSMUSG00000088800.1,0,0,0,0
248,ENSMUSG00000101644.1,0,0,0,0
249,ENSMUSG00000099433.1,0,0,0,0
250,ENSMUSG00000089787.2,1,1,0,0
251,ENSMUSG00000042596.7,50,180,100,112
252,ENSMUSG00000100720.1,2,5,10,4
253,ENSMUSG00000025927.13,2,119,4,7
254,ENSMUSG00000100538.1,0,0,0,0
255,ENSMUSG00000101117.1,0,0,0,0
256,ENSMUSG00000100204.1,7,5,17,23
257,ENSMUSG00000084668.1,0,0,0,0
258,ENSMUSG00000102597.1,0,0,0,0
259,ENSMUSG00000043760.16,0,0,0,3
260,ENSMUSG00000104095.1,0,0,0,0
261,ENSMUSG00000089914.2,0,0,0,0
262,ENSMUSG00000090142.2,37,47,69,85
263,ENSMUSG00000070175.1,0,0,0,0
264,ENSMUSG00000065559.1,0,0,0,0
265,ENSMUSG00000099906.1,0,0,0,0
266,ENSMUSG00000065480.1,0,0,0,0
267,ENSMUSG00000025929.4,0,0,0,0
268,ENSMUSG00000041872.9,0,1,3,1
269,ENSMUSG00000041859.10,480,582,2687,1339
270,ENSMUSG00000099714.1,0,0,3,0
271,ENSMUSG00000102121.1,0,0,0,0
272,ENSMUSG00000088858.1,0,0,0,0
273,ENSMUSG00000097934.1,2,6,14,11
274,ENSMUSG00000025931.15,792,1192,2335,1691
275,ENSMUSG00000077314.1,0,0,0,0
276,ENSMUSG00000100929.1,0,0,2,2
277,ENSMUSG00000041809.5,15,21,36,30
278,ENSMUSG00000041779.5,144,253,429,298
279,ENSMUSG00000099971.1,0,0,0,1
280,ENSMUSG00000100819.1,8,9,6,8
281,ENSMUSG00000025933.15,49,135,129,231
282,ENSMUSG00000102633.1,0,0,2,1
283,ENSMUSG00000025934.15,17,13,21,26
284,ENSMUSG00000099343.1,0,0,1,0
285,ENSMUSG00000096375.2,0,3,1,2
286,ENSMUSG00000025936.15,0,0,0,0
287,ENSMUSG00000093963.1,0,0,0,0
288,ENSMUSG00000067750.3,1,0,1,1
